commit	success_rate	median_distance	average_distance	total_seconds	status	description
75f0739	0.9636	0.029	0.365	36.7	discard	RANSAC restarts 7->3; -24s but lost frames 1292, 1435 (yaw flips)
75d2ec4	0.9455	0.029	0.396	49.2	discard	RANSAC restarts 7->5; lost 3 frames (yaw flips, position drift)
c8c9722	0.9636	0.029	0.370	56.5	discard	RANSAC restarts 7->6; lost 2 frames
48ccc40	0.9818	0.029	0.250	53.7	discard	RANSAC iters 500k->250k; lost frame 1435 (yaw flip)
260fdc6	0.9636	0.029	0.355	58.0	discard	RANSAC iters 500k->400k; lost 2 frames
c88923b	1.0000	0.029	0.079	56.2	keep	drop 0.5m voxel; 3-scale [0.2,0.3,0.8] same accuracy, -4.4s
ed4419e	0.9091	0.033	0.781	42.8	discard	drop 0.3m voxel; lost 5 frames - too aggressive
d5b36ba	0.9636	0.029	0.244	55.0	discard	top-K 10->5; lost frames 1292, 2153
4fc7c26	0.9818	0.029	0.118	55.8	discard	polish iters 100->50; lost frame 1866 — polish wasn't the bottleneck anyway
e7cb4ca	0.8545	0.032	1.159	60.8	discard	FPFH max_nn 100->50; lost 8 frames - features need full neighborhood
f5da9da	0.9818	0.029	0.194	54.7	discard	RANSAC confidence 0.999->0.99; lost frame 1292
f94e8ce	0.9455	0.029	0.253	54.1	discard	per-scale iters 0.2m@300k; lost 3 frames
ba73c3f	1.0000	0.028	0.087	55.8	keep	remove final tight ICP refine; median 0.029->0.028 (slight improvement)
28b58f0	0.9273	0.028	0.719	56.7	discard	normal max_nn 30->20; lost 4 frames, no speedup
742a279	1.0000	0.028	0.087	55.5	keep	RANSAC confidence 0.999->0.995; minor early termination, -0.3s, same metrics
7b4a493	0.9636	0.028	0.308	62.1	discard	drop wall-only; lost 2 frames AND +7s (full cloud scoring more expensive)
25f01ea	0.9636	0.028	0.379	39.1	discard	per-scale (0.2m@4); -16s but lost 2 frames
6d81ccc	0.9455	0.028	0.405	47.3	discard	0.2m@6; lost 3 frames
f886031	0.9636	0.028	0.374	50.2	discard	0.2m@7; lost frames 1292 and 1579 - 0.2m needs all 8 restarts
0799417	0.9636	0.028	0.267	50.2	discard	0.3/0.8@5; lost frames 1292 and 1579 - same failures, less diversity is bad
3da23e9	1.0000	0.032	0.086	54.5	discard	looser ICP convergence 1e-4; median 0.028->0.032 (worse)
83d399e	0.7818	0.034	1.888	60.5	discard	FPFH radius voxel*5 -> voxel*3; lost 12 frames - features too local
d50b94f	0.9455	0.029	0.407	54.9	discard	FPFH radius voxel*5 -> voxel*4; lost 3 frames
04c2612	0.9636	0.029	0.196	53.8	discard	polish max_iter 100->30; lost 2 frames
4ab2a25	0.9818	0.028	0.154	54.6	discard	top-K 10->7; lost frame 1292
1353587	1.0000	0.028	0.087	54.2	keep	0.8m@4 (was 8); same accuracy, -1.3s — coarse scale needs fewer restarts
3ad7718	1.0000	0.028	0.087	53.9	keep	0.8m@3 (was 4); identical all_distances, -0.3s
ef3f830	1.0000	0.028	0.087	53.9	keep	0.8m@2 (was 3); identical, no time change but no regression
b965218	1.0000	0.028	0.087	53.7	keep	0.8m@1 (was 2); identical, 0.8m candidates never win rerank on this dataset
47a4273	0.9818	0.028	0.139	53.6	discard	drop 0.8m entirely; lost frame 1866 - needs 0.8m anchor
77a8833	0.9636	0.028	0.216	52.0	discard	0.3m@7; lost 2 frames - 0.3m needs all 8 restarts
bd46ef5	0.9091	0.034	0.672	49.2	discard	0.3m -> 0.4m; lost 5 frames - 0.3m FPFH descriptors specifically needed
7792600	1.0000	0.028	0.086	53.4	discard	ICP convergence 1e-5; median slightly worse
475cde4	1.0000	0.037	0.091	53.7	discard	drop Tukey kernel from polish; median 0.028->0.037 (worse)
